title,mileage,price,location,link,date_scraped
2007 Ford focus,111K miles,"$3,400","Phoenix, AZ",www.facebook.com/marketplace/item/2444174832427006/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Chrysler 200 Limited Convertible 2D,100K miles,"$4,900","Phoenix, AZ",www.facebook.com/marketplace/item/888884438981410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Chevrolet malibu,170K miles,"$2,100","Phoenix, AZ",www.facebook.com/marketplace/item/150692307839109/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Hyundai elantra Limited Sedan 4D,127K miles,"$6,399","Phoenix, AZ",www.facebook.com/marketplace/item/5935652199857221/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Hyundai sonata Limited Sedan 4D,149K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/509053831416727/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Jeep librete,167K miles,"$2,600","Glendale, AZ",www.facebook.com/marketplace/item/865085654594277/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Mazda cx-7,158K miles,"$2,950","Avondale, AZ",www.facebook.com/marketplace/item/729501521867140/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Saturn vue,12K miles,"$1,000","Glendale, AZ",www.facebook.com/marketplace/item/1316953575818019/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Toyota solara,180K miles,"$1,000","Surprise, AZ",www.facebook.com/marketplace/item/884940072756317/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2002 Nissan altima,155K miles,"$2,600","Paradise Valley, AZ",www.facebook.com/marketplace/item/1195260681361485/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2000 Honda civic,190K miles,"$4,000","Phoenix, AZ",www.facebook.com/marketplace/item/1410054313073900/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Toyota prius Hatchback 4D,60K miles,"$4,000","Mesa, AZ",www.facebook.com/marketplace/item/932058517966362/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Nissan altima 2.5 Sedan 4D,154K miles,"$3,400","Phoenix, AZ",www.facebook.com/marketplace/item/1339611663485841/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Ford fusion SEL Sedan 4D,117K miles,"$3,500","Chandler, AZ",www.facebook.com/marketplace/item/1322054225250185/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan altima 2.5 SR Sedan 4D,72K miles,"$9,000","Phoenix, AZ",www.facebook.com/marketplace/item/1191011048470801/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Honda accord EX Sedan 4D,68K miles,"$1,600","Phoenix, AZ",www.facebook.com/marketplace/item/715431756570681/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Subaru outback 3.0 R LL Bean Edition Wagon 4D,115K miles,"$4,000","Laveen, AZ",www.facebook.com/marketplace/item/879807136610452/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Chevrolet malibu LT Sedan 4D,117K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/658903982657844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Dodge charger SXT Plus Sedan 4D,180K miles,"$8,700","Phoenix, AZ",www.facebook.com/marketplace/item/886596785944934/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Toyota accord,47K miles,"MX$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/651319713351085/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Ford fusion SE Sedan 4D,143K miles,"$3,800","Phoenix, AZ",www.facebook.com/marketplace/item/1237638306884238/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Infiniti m35,180K miles,"$4,000","Phoenix, AZ",www.facebook.com/marketplace/item/1354115398743994/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chevrolet cruze LT Sedan 4D,102K miles,"$7,550","Phoenix, AZ",www.facebook.com/marketplace/item/3360908590822471/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Hyundai veloster Coupe 3D,100K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/900095494369045/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Mazda tribute LX Sport Utility 4D,116K miles,"$2,800","Phoenix, AZ",www.facebook.com/marketplace/item/100558109648605/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Lexus es 300,132K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/523167803286960/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Saturn ion 1 Sedan 4D,151K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/5767044730088921/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Infiniti m series M35,140K miles,"$5,800","Phoenix, AZ",www.facebook.com/marketplace/item/1143953566278665/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Chevrolet cruze LT Sedan 4D,70K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/1365044130703312/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Chevrolet camaro LT Coupe 2D,160K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/771318003982583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Ford fusion SE Sedan 4D,173K miles,"$6,000","Phoenix, AZ",www.facebook.com/marketplace/item/3443436842537682/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Hyundai elantra,190K miles,"$3,250","Phoenix, AZ",www.facebook.com/marketplace/item/1381556625935891/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Honda accord EX Sedan 4D,74K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/1551856425316828/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Chevrolet malibu LT Sedan 4D,150K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/508549804786499/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Honda accord EX Sedan 4D,102K miles,"$7,500","Phoenix, AZ",www.facebook.com/marketplace/item/862070208232513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Chrysler pt cruiser Limited Sport Wagon 4D,126K miles,"$2,800","Phoenix, AZ",www.facebook.com/marketplace/item/747013963611034/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Cadillac cts Base,100K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/2358398867668372/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Honda civic LX Sedan 4D,137K miles,"$8,700","Scottsdale, AZ",www.facebook.com/marketplace/item/747433160296854/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Nissan altima 2.5 S Sedan 4D,155K miles,"$3,700","Phoenix, AZ",www.facebook.com/marketplace/item/727604549026155/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Nissan altima 2.5 S Sedan 4D,113K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/755118899336907/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Chrysler 200,150K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/5771488479616333/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Audi a3 2.0T Wagon 4D,126K miles,"$2,400","Phoenix, AZ",www.facebook.com/marketplace/item/1187607618558861/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Nissan 350z Touring Coupe 2D,68K miles,"$8,550","Phoenix, AZ",www.facebook.com/marketplace/item/856855182042283/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Mazda mazda5,120K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/194716983242985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Ford mustang GT Premium Coupe 2D,16K miles,"$8,000","Phoenix, AZ",www.facebook.com/marketplace/item/884005569533319/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Volkswagen passat 2.5L SEL Sedan 4D,150K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/728873172126017/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Land Rover range rover HSE Sport Utility 4D,150K miles · Dealership,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/1246490949634902/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2000 Mercedes-Benz clk-class,230K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/1237493323565111/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Ford explorer Platinum Sport Utility 4D,140K miles,"$9,900","Phoenix, AZ",www.facebook.com/marketplace/item/170007315359174/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Jeep grand cherokee Laredo Sport Utility 4D,150K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/1369613236912448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Cadillac CTS-V Sedan 4D,154K miles,"$1,700","Phoenix, AZ",www.facebook.com/marketplace/item/3486140394962692/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Dodge caliber SXT Sport Wagon 4D,98K miles,"$4,100","Phoenix, AZ",www.facebook.com/marketplace/item/751432842962513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Dodge charger SE Sedan 4D,58K miles,"$5,999","Phoenix, AZ",www.facebook.com/marketplace/item/915898066502373/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Honda accord EX-L Coupe 2D,155K miles,"$11,000","Phoenix, AZ",www.facebook.com/marketplace/item/1607633952997822/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet camaro LS Coupe 2D,95K miles,"$14,500","Phoenix, AZ",www.facebook.com/marketplace/item/601812464691862/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Kia optima EX Sedan 4D,220K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/100997839593591/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Kia forte,125K miles,"$10,500","Phoenix, AZ",www.facebook.com/marketplace/item/223086240092388/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Ford escape Hybrid Sport Utility 4D,246K miles,"$4,800","Phoenix, AZ",www.facebook.com/marketplace/item/639864684644151/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Chevrolet sonic LT Sedan 4D,155K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/1230135527919409/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1999 Saturn sl 1,297K miles,$900,"Phoenix, AZ",www.facebook.com/marketplace/item/1348042252699300/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chrysler 300C Sedan 4D,55K miles,"$13,500","Phoenix, AZ",www.facebook.com/marketplace/item/598310041771137/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1998 Acura integra GS-R Sport Coupe 2D,130K miles,Free,"El Mirage, AZ",www.facebook.com/marketplace/item/229159622905329/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet silverado 1500 Firm on price no ofresca menos,250K miles · Dealership,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/151897604385610/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Chrysler 300 SRT8 Sedan 4D,160K miles,"$10,800","Phoenix, AZ",www.facebook.com/marketplace/item/943235116869257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan 350z Coupe 2D,106K miles,"$12,000","Phoenix, AZ",www.facebook.com/marketplace/item/1230176961237429/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Dodge ram 2500 SLT Pickup 4D 6 1/4 ft,270K miles,"$14,850","Phoenix, AZ",www.facebook.com/marketplace/item/3377234099214066/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Ford mustang convertible,95K miles,"$6,000","Phoenix, AZ",www.facebook.com/marketplace/item/715675453281340/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Ford mustang Coupe 2Door,137K miles,"$4,500","Avondale, AZ",www.facebook.com/marketplace/item/958455615537438/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Lexus es330,103K miles,"$4,500","Glendale, AZ",www.facebook.com/marketplace/item/759379819189577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Kia optima,84K miles,"$1,000","Chandler, AZ",www.facebook.com/marketplace/item/1631888620565742/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Nissan xterra S Sport Utility 4D,162K miles,"$2,500","Peoria, AZ",www.facebook.com/marketplace/item/1330458514451928/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet malibu,133K miles,"$3,500","Mesa, AZ",www.facebook.com/marketplace/item/596543212362547/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Ford fusion S Sedan 4D,105K miles,"$7,950","Phoenix, AZ",www.facebook.com/marketplace/item/583891486947284/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2001 Ford taurus,157K miles,"$2,600","Glendale, AZ",www.facebook.com/marketplace/item/6184285684969604/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Chevrolet malibu LT Sedan 4D,157K miles,"$4,700","Phoenix, AZ",www.facebook.com/marketplace/item/946497416364970/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Saturn aura XE Sedan 4D,178K miles,"$4,200","Glendale, AZ",www.facebook.com/marketplace/item/502322298645805/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 BMW series 5 Grey,243K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/1484865028586228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Dodge charger R/T Sedan 4D,150K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/782758546167030/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Ford mustang Premium Coupe 2D,151K miles · Dealership,"$5,355","Phoenix, AZ",www.facebook.com/marketplace/item/621676769973608/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Hyundai elantra,96K miles,"$1,000","Glendale, AZ",www.facebook.com/marketplace/item/534174832147436/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Toyota camry,128K miles,"$4,400","Phoenix, AZ",www.facebook.com/marketplace/item/726576609052552/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Ford mustang,146K miles,"$3,000","Chandler, AZ",www.facebook.com/marketplace/item/1236313650646837/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan altima,205K miles,"$3,200","Chandler, AZ",www.facebook.com/marketplace/item/3061542337481683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Toyota 4runner SR5 Sport Utility 4D,189K miles,"$5,900","Phoenix, AZ",www.facebook.com/marketplace/item/724804395907821/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Honda civic LX Coupe 2D,150K miles,"$1,700","Phoenix, AZ",www.facebook.com/marketplace/item/718435489913417/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Toyota highlander,82K miles,"$16,500","Phoenix, AZ",www.facebook.com/marketplace/item/661802465947579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet aveo LT Sedan 4D,140K miles,"$2,700","Phoenix, AZ",www.facebook.com/marketplace/item/876765426917394/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Hyundai sonata,73K miles,"$9,800","Phoenix, AZ",www.facebook.com/marketplace/item/882656439660362/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Maserati ghibli Sedan 4D,30K miles,"$16,900","Phoenix, AZ",www.facebook.com/marketplace/item/880827119695290/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Jeep patriot Latitude Sport Utility 4D,156K miles,"$5,200","Phoenix, AZ",www.facebook.com/marketplace/item/763506275194166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Nissan maxima S Sedan 4D,160K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/481526734031317/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Chevrolet hhr LT Sport Wagon 4D,118K miles,"$2,800","Surprise, AZ",www.facebook.com/marketplace/item/579020607494389/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2001 Audi tt Coupe 2D,191K miles,"$3,700","Glendale, AZ",www.facebook.com/marketplace/item/477653731231841/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Audi a4 2.0T Premium Sedan 4D,125K miles,"$6,700","Glendale, AZ",www.facebook.com/marketplace/item/863686764694365/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Honda civic,213K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/735182881322287/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Toyota matrix,15K miles,"$3,650","Phoenix, AZ",www.facebook.com/marketplace/item/6010316085682573/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2002 Honda civic EX Coupe 2D,190K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/213910344467536/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2000 Chevrolet silverado 1500 Short Bed,211K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/875815133711201/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Ford fusion,119K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/756326029184033/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Nissan versa,104K miles,"$4,200","Phoenix, AZ",www.facebook.com/marketplace/item/575807710729501/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Nissan rogue,104K miles,"$5,699","Laveen, AZ",www.facebook.com/marketplace/item/166183742845893/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan altima,128K miles,"$8,900","Phoenix, AZ",www.facebook.com/marketplace/item/221829100214607/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2001 BMW series 3,172K miles,"$6,500","Peoria, AZ",www.facebook.com/marketplace/item/754738019418156/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Hyundai elantra SE Sedan 4D,50K miles,"$9,200","Glendale, AZ",www.facebook.com/marketplace/item/1724703074606088/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Dodge caliber SXT Sport Wagon 4D,102K miles,"$5,200","Glendale, AZ",www.facebook.com/marketplace/item/1572484856590153/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Chevrolet impala,149K miles,"$3,850","Phoenix, AZ",www.facebook.com/marketplace/item/556447156257247/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Pontiac grand prix Sedan 4D,118K miles,"$3,500","Gilbert, AZ",www.facebook.com/marketplace/item/939895807012236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1986 Chevrolet camaro Z28 Coupe 2D,150K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/545645796973453/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Ford mustang EcoBoost Premium Coupe 2D,72K miles,"$16,500","Phoenix, AZ",www.facebook.com/marketplace/item/144190811857698/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Ford edge Limited Sport Utility 4D,120K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/949936883032521/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Toyota venza,125K miles,"$11,000","Phoenix, AZ",www.facebook.com/marketplace/item/966335388107907/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Ford fusion,20K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/3362370764050816/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Toyota sienna LE Minivan 4D,63K miles,"$16,500","Gilbert, AZ",www.facebook.com/marketplace/item/866355647776843/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Ram 1500 Sport Pickup 4D 5 1/2 ft,135K miles,"$7,600","Phoenix, AZ",www.facebook.com/marketplace/item/918647459285315/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 SL Sedan 4D,10K miles,"$14,999","Phoenix, AZ",www.facebook.com/marketplace/item/163367536488127/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Ford flex SEL Sport Utility 4D,163K miles,"$4,950","Phoenix, AZ",www.facebook.com/marketplace/item/530861089189349/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Jeep grand cherokee Limited Sport Utility 4D,194K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/2313585332146265/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 GMC yukon SLT Sport Utility 4D,160K miles,"$7,500","Phoenix, AZ",www.facebook.com/marketplace/item/896680608317594/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Toyota matrix XR Sport Wagon 4D,140K miles,"$4,995","Phoenix, AZ",www.facebook.com/marketplace/item/489151585988985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Volvo xc60 3.2 Sport Utility 4D,190K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/1190226221885363/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Honda civic LX Sedan 4D,86K miles,"$10,000","Tempe, AZ",www.facebook.com/marketplace/item/1135250507157040/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Dodge durango,130K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/855684485527465/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Chevrolet suburban LT Sport Utility 4D,140K miles,"$8,900","Phoenix, AZ",www.facebook.com/marketplace/item/6520981061265351/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Kia optima EX Sedan 4D,86K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/983882516157110/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Infiniti g35,157K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/926360331826558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 BMW series 3,144K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/1287025245215334/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Honda accord Sport Sedan 4D,80K miles,"$17,200","Phoenix, AZ",www.facebook.com/marketplace/item/737903717999336/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Audi a5,,"$5,900","Phoenix, AZ",www.facebook.com/marketplace/item/2993519340955731/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1990 Mazda mx-5 miata Convertible 2D,200K miles,"$1,234","Mesa, AZ",www.facebook.com/marketplace/item/715305263408121/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
